Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Beef, round, eye of round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",29.66,4.47,0,159,0,0,0,0,0,0,0,0,17,1.88,15,286,411,68,4.41,0.055,0.002,29.1,14,4,4,0,0,0.31,0,0,0,0,0,0,0,0.082,0.238,8.682,0.459,0.832,5,2.38,83.1,78,1.669,0
"Beef, round, eye of round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",29.79,4.83,0,163,0,0,0,0,0,0,0,0,17,1.91,16,286,419,67,4.43,0.063,0.001,29.4,14,4,4,0,0,0.33,0,0,0,0,0,0,0,0.082,0.237,8.797,0.449,0.837,5,2.18,83.7,76,1.744,0
"Beef, round, eye of round steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",29.47,3.98,0,154,0,0,0,0,0,0,0,0,16,1.78,15,287,402,65,4.36,0.046,0.002,28.7,22,7,7,0,0,0.28,0,0,0,0,0,0,0,0.082,0.239,8.509,0.475,0.824,5,2.67,82.3,81,1.557,0
"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",23.59,2.94,0,121,0,0,0,0,0,0,0,0,13,2.34,12,220,313,54,3.7,0.048,0.004,22.2,6,2,2,0,0,0.23,0,0,0,0,0,0,0,0.064,0.236,6.462,0.358,0.635,4,1.64,64.8,62,1.12,0
"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",23.59,3.26,0,124,0,0,0,0,0,0,0,0,13,2.35,12,221,309,56,3.78,0.048,0.004,21.9,7,2,2,0,0,0.24,0,0,0,0,0,0,0,0.064,0.227,6.667,0.35,0.641,4,1.66,65.4,61,1.253,0
"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.59,2.45,0,116,0,0,0,0,0,0,0,0,13,2.34,12,220,316,55,3.54,0.047,0.003,22.7,7,2,2,0,0,0.21,0,0,0,0,0,0,0,0.064,0.25,6.155,0.37,0.626,4,1.63,64.1,63,0.92,0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",23.59,2.94,0,121,0,0,0,0,0,0,0,0,13,2.34,12,220,313,54,3.7,0.048,0.004,22.2,6,2,2,0,0,0.23,0,0,0,0,0,0,0,0.064,0.236,6.462,0.358,0.635,4,1.64,64.8,62,1.12,0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",23.59,3.26,0,124,0,0,0,0,0,0,0,0,13,2.35,12,221,309,56,3.78,0.048,0.004,21.9,6,2,2,0,0,0.24,0,0,0,0,0,0,0,0.064,0.227,6.667,0.35,0.641,4,1.66,65.4,61,1.253,0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.59,2.45,0,116,0,0,0,0,0,0,0,0,13,2.34,12,220,316,55,3.54,0.047,0.003,22.7,7,2,2,0,0,0.21,0,0,0,0,0,0,0,0.064,0.25,6.155,0.37,0.626,4,1.63,64.1,63,0.92,0
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",23.37,3.04,0,121,0,0,0,0,0,0,0,0,13,1.45,12,222,319,53,3.42,0.042,0.001,22.6,4,1,1,0,0,0.24,0,0,0,0,0,0,0,0.063,0.184,6.72,0.355,0.644,4,1.84,64.2,60,1.086,0
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",23.35,3.38,0,124,0,0,0,0,0,0,0,0,13,1.47,12,221,324,52,3.43,0.049,0.001,22.8,6,2,2,0,0,0.27,0,0,0,0,0,0,0,0.063,0.183,6.81,0.354,0.648,4,1.68,64.2,58,1.137,0
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.41,2.52,0,116,0,0,0,0,0,0,0,0,13,1.37,11,222,312,50,3.38,0.035,0.002,22.2,7,2,2,0,0,0.22,0,0,0,0,0,0,0,0.064,0.185,6.585,0.367,0.637,4,2.07,63.6,62,1.011,0
"Beef, round, eye of round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",23.37,3.04,0,121,0,0,0,0,0,0,0,0,13,1.45,12,222,319,53,3.42,0.042,0.001,22.6,6,2,2,0,0,0.24,0,0,0,0,0,0,0,0.063,0.184,6.72,0.355,0.644,4,1.84,64.2,60,1.086,0
"Beef, round, eye of round steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",23.35,3.38,0,124,0,0,0,0,0,0,0,0,13,1.47,12,221,324,52,3.43,0.049,0.001,22.8,6,2,2,0,0,0.25,0,0,0,0,0,0,0,0.063,0.183,6.81,0.346,0.648,4,1.68,64.7,58,1.137,0
"Beef, round, eye of round steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.41,2.52,0,116,0,0,0,0,0,0,0,0,13,1.37,11,222,312,50,3.38,0.035,0.002,22.2,7,2,2,0,0,0.22,0,0,0,0,0,0,0,0.064,0.185,6.585,0.367,0.637,4,2.07,63.6,62,1.011,0
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",21.94,5.74,0,139,0,0,0,0,0,0,0,0,13,2.5,12,215,289,44,3.26,0.063,0.007,20.4,6,2,2,0,0,0.23,0.1,0,0.1,0,0,0,0,0.053,0.318,4.755,0.354,0.615,4,3.53,55.4,61,1.956,0
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",21.78,6.16,0,143,0,0,0,0,0,0,0,0,13,2.55,12,212,284,45,3.27,0.062,0.007,19.5,6,2,2,0,0,0.24,0.1,0,0.1,0,0,0,0,0.053,0.307,4.508,0.351,0.61,3,3.4,55,60,2.123,0
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",22.16,5.1,0,135,0,0,0,0,0,0,0,0,14,2.48,13,222,298,42,3.37,0.068,0.008,21.5,7,2,2,0,0,0.18,0.1,0,0.1,0,0,0,0,0.057,0.335,5.125,0.371,0.622,4,3.72,58.3,62,1.706,0
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",23.07,5.67,0,143,0,0,0,0,0,0,0,0,15,1.84,12,207,284,46,3.72,0.044,0.002,21.5,7,2,2,0,0,0.22,0.1,0,0.1,0,0,0,0,0.056,0.211,6.742,0.372,0.578,4,1.78,58.3,60,2.345,0
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, raw",22.93,6.34,0,149,0,0,0,0,0,0,0,0,15,1.93,11,205,283,46,3.79,0.042,0.002,21,6,2,2,0,0,0.24,0.1,0,0.1,0,0,0,0,0.053,0.205,6.947,0.36,0.589,4,1.71,56.3,58,2.515,0
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",23.3,4.66,0,135,0,0,0,0,0,0,0,0,14,1.73,12,210,288,47,3.64,0.045,0.002,22,7,2,2,0,0,0.2,0.1,0,0.1,0,0,0,0,0.06,0.22,6.435,0.39,0.563,4,1.88,61.3,62,1.824,0
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",21.94,5.74,0,139,0,0,0,0,0,0,0,0,13,2.5,12,215,289,44,3.26,0.063,0.007,20.4,6,2,2,0,0,0.23,0.1,0,0.1,0,0,0,0,0.053,0.318,4.755,0.354,0.615,4,3.53,55.4,61,1.956,0
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",21.78,6.16,0,143,0,0,0,0,0,0,0,0,13,2.55,12,212,284,45,3.27,0.062,0.007,19.5,0,2,0,0,0,0.24,0.1,0,0.1,0,0,0,0,0.05,0.307,4.508,0.342,0.61,3,3.4,53.5,60,2.123,0
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",22.16,5.1,0,135,0,0,0,0,0,0,0,0,14,2.48,13,222,298,42,3.37,0.068,0.008,21.5,7,2,2,0,0,0.22,0.1,0,0.1,0,0,0,0,0.057,0.335,5.125,0.371,0.622,4,3.72,58.3,62,1.706,0
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",27.51,7.49,0,177,0,0,0,0,0,0,0,0,13,3.22,18,255,350,56,4.19,0.091,0.009,25.1,5,2,2,0,0,0.28,0.1,0,0.1,0,0,0,0,0.069,0.395,5.586,0.459,0.686,7,4.09,72,84,2.99,0
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",27.48,8.13,0,183,0,0,0,0,0,0,0,0,14,3.25,18,253,350,56,4.46,0.086,0.009,24.8,4,1,1,0,0,0.3,0.1,0,0.1,0,0,0,0,0.065,0.392,5.47,0.444,0.696,7,4.01,69.5,82,3.252,0
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.55,6.54,0,169,0,0,0,0,0,0,0,0,13,3.04,14,259,352,54,3.7,0.097,0.009,25.4,6,2,2,0,0,0.25,0.1,0,0.1,0,0,0,0,0.074,0.4,5.76,0.481,0.669,7,4.21,75.6,85,2.595,0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",30.09,3.77,0,162,0,0,0,0,0,0,0,0,16,2.89,15,272,387,67,4.57,0.059,0.005,27.4,8,2,2,0,0,0.28,0,0,0,0,0,0,0,0.079,0.291,7.978,0.442,0.784,5,2.03,80.1,77,1.383,0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",30.24,4.11,0.06,158,0,0,0,0,0,0,0,0,16,2.91,15,272,381,69,4.67,0.059,0.005,27,7,2,2,0,0,0.3,0,0,0,0,0,0,0,0.079,0.28,8.23,0.432,0.792,5,2.05,80.7,76,1.547,0.06
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",29.81,3.37,0,150,0,0,0,0,0,0,0,0,17,2.89,15,271,390,67,4.37,0.059,0.004,28,8,3,3,0,0,0.26,0,0,0,0,0,0,0,0.079,0.309,7.599,0.457,0.772,5,2.01,79.1,78,1.136,0
"Beef, round, eye of round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",29.85,3.9,0,155,0,0,0,0,0,0,0,0,17,1.88,15,288,414,68,4.44,0.055,0.002,29.3,8,2,2,0,0,0.31,0,0,0,0,0,0,0,0.082,0.239,8.727,0.461,0.836,5,2.38,83.4,78,1.41,0
"Beef, round, eye of round steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",29.94,4.26,0,158,0,0,0,0,0,0,0,0,17,1.91,16,288,421,68,4.46,0.064,0.001,29.6,7,2,2,0,0,0.33,0,0,0,0,0,0,0,0.082,0.238,8.844,0.45,0.842,5,2.19,84,76,1.476,0
"Beef, round, eye of round steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",29.52,3.43,0,149,0,0,0,0,0,0,0,0,16,1.78,15,289,405,65,4.39,0.046,0.002,28.8,9,3,3,0,0,0.28,0,0,0,0,0,0,0,0.082,0.24,8.552,0.477,0.828,5,2.68,82.6,81,1.313,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",23.3,4.66,0,135,0,0,0,0,0,0,0,0,14,1.73,12,210,288,47,3.64,0.045,0.002,22,7,2,2,0,0,0.2,0.1,0,0.1,0,0,0,0,0.06,0.22,6.435,0.39,0.563,4,1.88,61.3,62,2.09,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.93,6.34,0,149,0,0,0,0,0,0,0,0,15,1.93,11,205,283,46,3.79,0.042,0.002,21,6,2,2,0,0,0.24,0.1,0,0.1,0,0,0,0,0.053,0.205,6.947,0.36,0.589,4,1.71,56.3,58,2.515,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",23.07,5.67,0,143,0,0,0,0,0,0,0,0,15,1.84,12,207,284,46,3.72,0.044,0.002,21.5,7,2,2,0,0,0.22,0.1,0,0.1,0,0,0,0,0.056,0.211,6.742,0.372,0.578,4,1.78,58.3,60,2.345,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",21.54,11.65,0,191,0,0,0,0,0,0,0,0,15,1.71,11,191,258,45,3.24,0.041,0.002,20,14,4,4,0,0,0.19,0.1,0,0.1,0,0,0,0,0.056,0.197,5.879,0.37,0.523,3,1.78,57.6,64,5.202,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",21.29,12.68,0,199,0,0,0,0,0,0,0,0,16,1.8,11,188,254,44,3.29,0.04,0.002,19.5,14,4,4,0,0,0.21,0.1,0,0.1,0,0,0,0,0.052,0.189,6.123,0.354,0.535,3,1.69,55,62,5.491,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",25.69,19.19,0,275,0,0,0,0,0,0,0,0,14,2.47,20,212,259,54,4.1,0.064,0.003,24,24,7,7,0,0,0.24,0.1,0,0.1,0,0,0,0,0.056,0.191,6.734,0.314,0.642,6,1.81,62.2,81,7.505,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",26.92,15.44,0,247,0,0,0,0,0,0,0,0,14,2.51,21,223,282,50,4.31,0.064,0.004,25.9,25,8,8,0,0,0.2,0.1,0,0.1,0,0,0,0,0.062,0.214,6.51,0.375,0.663,7,2,61.1,81,6.056,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",26.18,17.69,0,264,0,0,0,0,0,0,0,0,14,2.48,20,216,265,52,4.16,0.067,0.003,24.8,0,0,0,0,0,0.23,0.1,0,0.1,0,0,0,0,0.058,0.2,6.644,0.338,0.65,6,1.88,61.8,81,6.925,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",28.66,10.34,0,208,0,0,0,0,0,0,0,0,13,2.58,22,226,293,56,4.66,0.071,0.003,26.9,5,1,1,0,0,0.24,0.1,0,0.1,0,0,0,0,0.06,0.212,7.46,0.32,0.714,7,1.88,68.9,80,3.917,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",29.67,7.26,0,184,0,0,0,0,0,0,0,0,13,2.61,24,236,315,51,4.83,0.07,0.004,28.7,7,2,2,0,0,0.19,0.1,0,0.1,0,0,0,0,0.066,0.235,7.11,0.39,0.728,7,2.09,66.7,80,2.713,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",29.06,9.11,0,198,0,0,0,0,0,0,0,0,13,2.59,23,229,299,54,4.71,0.074,0.004,27.7,6,2,2,0,0,0.22,0.1,0,0.1,0,0,0,0,0.062,0.221,7.32,0.348,0.719,7,1.96,68,80,3.435,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",21.13,13.36,0,205,0,0,0,0,0,0,0,0,16,1.88,10,187,253,44,3.35,0.038,0.002,19,14,4,4,0,0,0.23,0.1,0,0.1,0,0,0,0,0.049,0.184,6.286,0.344,0.543,3,1.63,53.3,61,5.685,0
"Beef, New Zealand, imported, bolar blade, separable lean only, cooked, fast roasted",33.53,6.57,0,193,0,0,0,0,0,0,0,0,5,2.7,19,165,181,33,6.38,0.128,0.012,2,45,13,13,0,0,0.76,0.2,0,0.2,0,0,0,0,0.037,0.142,2.232,0.399,0.191,0,1.65,0,91,1.881,0
"Beef, New Zealand, imported, bolar blade, separable lean only, raw",22.09,4.49,0,129,0,0,0,0,0,0,0,0,4,2.06,22,190,325,55,3.63,0.145,0.013,1,21,6,6,0,0,0.4,0.1,0,0.1,0,0,0,0,0.048,0.109,3.142,0.546,0.331,0,1.8,0,56,1.347,0
"Beef, New Zealand, imported, brisket navel end, separable lean only, cooked, braised",29.35,16.37,0,265,0,0,0,0,0,0,0,0,7,1.84,14,113,142,39,5.76,0.068,0.004,3.6,53,16,16,0,0,0.71,0.2,0,0.2,0,0,0,0,0.017,0.093,2.45,0,0.102,0,1.34,0,79,5.527,0
"Beef, New Zealand, imported, brisket navel end, separable lean only, raw",19.74,12.75,0,194,0,0,0,0,0,0,0,0,5,1.4,17,148,277,66,3.64,0.048,0.004,2.6,43,13,13,0,0,0.43,0.2,0,0.2,0,0,0,0,0.034,0.1,3.578,0.325,0.237,0,1.97,0,53,4.351,0
"Beef, New Zealand, imported, brisket point end, separable lean only, cooked, braised",34.51,7.05,0,202,0,0,0,0,0,0,0,0,6,2.78,20,167,178,30,5.16,0.113,0.013,5.3,41,12,12,0,0,0.85,0.2,0,0.2,0,0,0,0,0.015,0.117,3.485,0,0.195,0,1.18,0,95,2.22,0
"Beef, New Zealand, imported, brisket point end, separable lean only, raw",20.92,4.62,0,125,0,0,0,0,0,0,0,0,4,2.06,21,189,321,51,2.66,0.102,0.011,2.7,28,9,9,0,0,0.48,0.1,0,0.1,0,0,0,0,0.035,0.052,4.335,0.268,0.322,0,1.39,0,54,1.648,0
"Beef, New Zealand, imported, chuck eye roll, separable lean only, raw",20.46,5.41,0,131,0,0,0,0,0,0,0,0,4,2.04,20,180,315,56,4.84,0.075,0.009,1.3,28,9,9,0,0,0.63,0.1,0,0.1,0,0,0,0,0.051,0.119,2.878,0.269,0.187,0,2.26,0,61,1.756,0
"Beef, New Zealand, imported, chuck eye roll, separable lean only, cooked, braised",32.08,8.89,0,208,0,0,0,0,0,0,0,0,6,2.71,19,157,189,38,7.81,0.098,0.01,2.1,41,12,12,0,0,0.9,0.2,0,0.2,0,0,0,0,0.028,0.142,2.035,0,0.147,0,1.97,0,98,2.894,0
"Beef, New Zealand, imported, cube roll, separable lean only, cooked, fast roasted",30.09,13.22,0,239,0,0,0,0,0,0,0,0,5,2.38,23,209,361,52,4.99,0.074,0.004,6.6,41,12,12,0,0,0.4,0.4,0,0.4,0,0,0,0,0.067,0.148,4.177,0.438,0.305,0,1.4,0,94,4.523,0
"Beef, New Zealand, imported, cube roll, separable lean only, raw",19.77,8.51,1.38,161,0,0,0,0,0,0,0,0,3,2.09,20,174,319,45,3.66,0.06,0.009,4.7,56,17,17,0,0,0.39,0.2,0,0.2,0,0,0,0,0.071,0.076,3.257,0.313,0.28,0,1.53,0,59,3.689,1.38
"Beef, New Zealand, imported, eye round, separable lean only, cooked, slow roasted",29.68,4.98,0,164,0,0,0,0,0,0,0,0,4,1.89,24,222,374,43,3.95,0.063,0.004,1.8,24,7,7,0,0,0.6,0.1,0,0.1,0,0,0,0,0.041,0.112,3.983,0.353,0.337,0,1.25,0,67,1.623,0
"Beef, New Zealand, imported, eye round, separable lean only, raw",20.15,3.35,1.35,116,0,0,0,0,0,0,0,0,3,1.39,22,192,352,40,2.78,0.048,0.004,1.1,24,7,7,0,0,0.46,0.1,0,0.1,0,0,0,0,0.037,0.07,3.494,0.265,0.329,0,1.14,0,47,0.875,1.35
"Beef, New Zealand, imported, flank, separable lean only, cooked, braised",30.75,7.92,0,194,0,0,0,0,0,0,0,0,5,2.41,18,141,192,28,6.89,0.066,0.011,5.5,38,11,11,0,0,0.95,0.3,0,0.3,0,0,0,0,0.021,0.086,3.467,0.13,0.12,0,1.4,0,78,2.862,0
"Beef, New Zealand, imported, flank, separable lean only, raw",20.53,6.67,0,142,0,0,0,0,0,0,0,0,4,1.57,20,175,331,47,4.33,0.046,0.006,3.5,26,8,8,0,0,0.34,0.1,0,0.1,0,0,0,0,0.032,0.082,4.73,0.14,0.205,0,1.56,0,49,2.299,0
"Beef, New Zealand, imported, flat, separable lean only, cooked, braised",33.22,10.3,0,226,0,0,0,0,0,0,0,0,6,3.23,18,159,172,30,4.54,0.19,0.016,2,49,15,15,0,0,1.16,0,0,0,0,0,0,0,0.024,0.192,2.292,0.15,0.171,0,1.85,0,94,3.117,0
"Beef, New Zealand, imported, flat, separable lean only, raw",21.3,7.69,0,154,0,0,0,0,0,0,0,0,5,1.9,20,175,291,50,5.44,0.12,0.008,1,36,11,11,0,0,0.52,0,0,0,0,0,0,0,0.045,0.14,3.328,0.32,0.276,0,2.85,0,55,2.525,0
"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled",31.29,6,0,179,0,0,0,0,0,0,0,0,6,6.81,26,265,184,59,2.79,0.648,0.041,17,47,14,14,0,0,2.09,0.2,0,0.2,0,0,0,0,0.237,0.983,3.365,1.231,0.122,0,6.73,0,201,1.825,0
"Beef, New Zealand, imported, variety meats and by-products, heart, raw",18.52,3.4,0,105,0,0,0,0,0,0,0,0,4,4.38,22,209,275,86,1.51,0.373,0.034,9,34,10,10,0,0,1.22,0.2,0,0.2,0,0,0,0,0.252,0.682,4.444,1.787,0.16,0,10.81,0,124,0.857,0
"Beef, New Zealand, imported, hind shin, separable lean only, cooked, braised",31.23,4.64,0,167,0,0,0,0,0,0,0,0,6,2.72,20,155,217,44,6.15,0.111,0.012,2,27,8,8,0,0,0.74,0.2,0,0.2,0,0,0,0,0.019,0.118,2.698,0.19,0.144,0,1.26,0,89,1.369,0
"Beef, New Zealand, imported, hind shin, separable lean only, raw",21.46,3.12,0,114,0,0,0,0,0,0,0,0,4,2.04,21,178,326,63,3.86,0.067,0.009,2,21,6,6,0,0,0.43,0,0,0,0,0,0,0,0.036,0.115,3.286,0.518,0.259,0,1.51,0,56,0.881,0
"Beef, New Zealand, imported, inside, raw",22.16,4.36,0.1,128,0,0,0,0,0,0,0,0,4,2.27,22,198,338,40,2.93,0.079,0.008,1.4,25,8,8,0,0,0.2,0.3,0,0.3,0,0,0,0,0.058,0.072,3.955,0.282,0.367,0,1.65,0,55,1.528,0.1
"Beef, New Zealand, imported, intermuscular fat, cooked",7.9,57.22,3.39,560,0,0,0,0,0,0,0,0,16,1.18,9,75,125,25,1.88,0.033,0.005,4,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0.046,0.056,1.07,0.209,0.084,0,0.4,0,87,25.25,3.39
"Beef, New Zealand, imported, intermuscular fat, raw",6.97,63.78,0.01,602,0,0,0,0,0,0,0,0,11,0.76,7,68,143,32,1.09,0.019,0.002,2.9,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0.06,0.032,1.05,0.143,0.063,0,0.21,0,104,28.5,0.01
"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled",27.28,5.27,0,157,0,0,0,0,0,0,0,0,14,5.7,18,338,144,123,2.6,0.563,0.155,105.2,347,104,104,0,0,1.53,0.8,0,0.8,0,0,0,0,0.403,2.945,3.903,3.055,0.254,0,21.35,0,1002,1.173,0
"Beef, New Zealand, imported, knuckle, cooked, fast fried",27.51,7.58,0,178,0,0,0,0,0,0,0,0,5,2.25,26,232,405,49,4.66,0.093,0.008,1.8,45,13,13,0,0,0.38,0.1,0,0.1,0,0,0,0,0.058,0.09,3.229,0.359,0.319,0,1.88,0,76,2.299,0
"Beef, New Zealand, imported, variety meats and by-products, kidney, raw",15.68,2.64,0,87,0,0,0,0,0,0,0,0,9,3.83,15,234,225,175,1.53,0.409,0.109,103.3,297,89,89,0,0,0.82,0.2,0,0.2,0,0,0,0,0.559,2.116,4.878,3.974,0.316,0,27.66,0,404,0.616,0
"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",23.3,4.68,3.78,150,0,0,0,0,0,0,0,0,4,7.17,21,397,336,55,3.4,5.73,328,16.2,70046,21014,21014,0,0,1.28,0.1,0,0.1,0,0,0,0,0.376,3.04,13.8,9.8,0.452,0,96,0,243,1.392,3.78
"Beef, New Zealand, imported, variety meats and by-products, liver, raw",20.5,4.05,3.6,133,0,0,0,0,0,0,0,0,4,8.44,19,362,327,53,3,5.3,299,16.5,94398,28319,28319,0,0,1.84,0,0,0,0,0,0,0,0.371,2.347,15.4,10.3,0.428,0,84.5,0,254,1.185,3.6
"Beef, New Zealand, imported, manufacturing beef, cooked, boiled",24.21,3.26,0,126,0,0,0,0,0,0,0,0,6,1.78,16,129,193,32,5.02,0.108,0.007,1.1,27,8,8,0,0,0.57,0.1,0,0.1,0,0,0,0,0.042,0.096,1.759,0.287,0.16,0,1.02,0,67,1.154,0
"Beef, New Zealand, imported, manufacturing beef, raw",21.23,3.68,0.23,119,0,0,0,0,0,0,0,0,6,1.95,21,182,340,55,4.28,0.074,0.008,1.1,32,10,10,0,0,0.49,0.1,0,0.1,0,0,0,0,0.055,0.107,2.908,0.532,0.194,0,1.41,0,49,1.65,0.23
"Beef, New Zealand, imported, oyster blade, separable lean only, cooked, braised",29.87,8.46,0,196,0,0,0,0,0,0,0,0,5,2.78,17,144,151,25,5.28,0.09,0.011,2,35,11,11,0,0,0.76,0.2,0,0.2,0,0,0,0,0.023,0.148,1.647,0,0.099,0,1.86,0,87,2.925,0
"Beef, New Zealand, imported, oyster blade, separable lean only, raw",21.83,7.56,0,155,0,0,0,0,0,0,0,0,4,1.95,18,158,297,59,4.64,0.06,0.008,2,41,12,12,0,0,0.38,0.2,0,0.2,0,0,0,0,0.054,0.121,2.361,0.864,0.156,0,2.33,0,56,2.589,0
"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted",27.23,9.74,0.09,197,0,0,0,0,0,0,0,0,18,2.21,22,204,363,58,4.9,0.058,0.008,3.5,29,9,9,0,0,0.93,0.3,0,0.3,0,0,0,0,0.026,0.117,5.053,0.389,0.266,0,1.15,0,69,3.585,0.09
"Beef, New Zealand, imported, ribs prepared, raw",21.31,6.78,0,146,0,0,0,0,0,0,0,0,15,1.82,20,184,337,54,3.95,0.047,0.006,2.9,26,8,8,0,0,0.74,0.2,0,0.2,0,0,0,0,0.03,0.09,4.306,0.293,0.255,0,1.17,0,57,2.453,0
"Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried",30.17,7.48,0,188,0,0,0,0,0,0,0,0,5,2.96,29,254,427,55,4.08,0.145,0.012,1.9,39,12,12,0,0,0.56,0.2,0,0.2,0,0,0,0,0.081,0.199,3.922,0.777,0.276,0,2.21,0,78,2.609,0
"Beef, New Zealand, imported, striploin, separable lean only, cooked, fast fried",28.53,11.4,0,217,0,0,0,0,0,0,0,0,6,1.96,24,217,364,55,3.41,0.078,0.004,4,63,19,19,0,0,0.53,0.3,0,0.3,0,0,0,0,0.053,0.086,4.842,0.41,0.323,0,0.94,0,70,3.918,0
"Beef, New Zealand, imported, striploin, separable lean only, raw",20.93,7,0.74,150,0,0,0,0,0,0,0,0,4,1.61,20,177,309,47,2.76,0.055,0.006,3,41,12,12,0,0,0.35,0.2,0,0.2,0,0,0,0,0.048,0.086,4.243,0.303,0.316,0,0.71,0,54,2.488,0.74
