Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,3.25,4.8,61,0,0,0,5.05,0,5.05,0,0,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,162,45,46,7,0,0.07,1.3,0,1.3,0,0,0,0,0.046,0.169,0.089,0.373,0.036,5,0.45,14.3,10,1.865,4.8
"Milk, producer, fluid, 3.7% milkfat",3.28,3.66,4.65,64,0,0,0,0,0,0,0,0,119,0.05,13,93,151,49,0.38,0.01,0.004,2,138,31,33,0,0,0,0,0,0,0,0,0,1.5,0.038,0.161,0.084,0.313,0.042,5,0.36,0,14,2.278,4.65
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.3,1.98,4.8,50,0.01,0.01,0.01,5.01,0.01,5.06,0.02,0,120,0.02,11,92,140,47,0.48,0.006,0.014,2.5,190,55,55,4,0,0.03,1.2,0,1.2,0,0,0,0.2,0.039,0.185,0.092,0.356,0.038,5,0.53,16.4,8,1.257,4.8
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",3.48,1.92,4.97,51,0,0,0,0,0,0,0,0,128,0.05,14,100,162,52,0.4,0.008,0.002,2.3,204,55,56,0,0,0,1,0,0,0,0,0,1,0.04,0.173,0.09,0.336,0.045,5,0.38,0,8,1.195,4.97
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",3.95,1.98,5.49,56,0,0,0,0,0,5.26,0,0,143,0.06,16,112,182,59,0.45,0.008,0.002,2.6,5,0,0,3,0,0.04,1,0,0,0,0,0,1.1,0.045,0.194,0.101,0.376,0.051,6,0.43,0,8,1.232,5.49
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.37,0.97,4.99,42,0,0,0,5.2,0,5.2,0,0,125,0.03,11,95,150,44,0.42,0.01,0.003,3.3,196,58,58,2,0,0.01,1.2,0,1.2,0,0,0,0,0.02,0.185,0.093,0.361,0.037,5,0.47,17.7,5,0.633,4.99
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",3.48,0.97,4.97,43,0,0,0,0,0,0,0,0,128,0.05,14,100,162,52,0.4,0.01,0.002,2.3,204,58,59,0,0,0,1,0,0,0,0,0,1,0.04,0.173,0.09,0.336,0.045,5,0.38,0,4,0.604,4.97
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",3.93,1.17,5.52,48,0,0,0,0,0,0,0,0,142,0.06,16,111,180,58,0.45,0.01,0.002,2.5,203,61,61,0,0,0,1,0,0,0,0,0,1.2,0.045,0.192,0.1,0.373,0.05,6,0.43,0,4,0.728,5.52
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.37,0.08,4.96,34,0,0,0,5.09,0,5.09,0,0,122,0.03,11,101,156,42,0.42,0.013,0.003,3.1,204,61,61,0,0,0.01,1.2,0,1.2,0,0,0,0,0.045,0.182,0.094,0.357,0.037,5,0.5,15.6,2,0.056,4.96
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",3.57,0.25,5.02,37,0,0,0,0,0,5.02,0,0,129,0.05,15,104,171,53,0.41,0.011,0.002,2.2,214,64,64,0,0,0.01,1.2,0,1.2,0,0,0,1,0.041,0.175,0.091,0.339,0.046,5,0.39,16,2,0.162,5.02
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",3.96,0.25,5.56,41,0,0,0,0,0,0,0,0,143,0.06,16,112,182,59,0.45,0.011,0.002,2.4,203,61,61,0,0,0,1,0,0,0,0,0,1.1,0.045,0.194,0.101,0.376,0.05,6,0.43,0,2,0.162,5.56
"Milk, buttermilk, fluid, cultured, lowfat",3.31,0.88,4.79,40,0,0,0,0,0,4.79,0,0,116,0.05,11,89,151,190,0.42,0.011,0.002,2,47,13,14,1,0,0.05,0,0,0,0,0,0,1,0.034,0.154,0.058,0.275,0.034,5,0.22,17.7,4,0.548,4.79
